"id","numero_orden"
1,"1576-112-CM16"
2,"1576-52-CM16"
3,"1576-1126-CM16"
4,GC 24485
5,"1576-1025-CM17"
6,"1576-1004-CM17"
7,"1576-1852-CM17"
8,"599-794-SE16"
9,"599-468-CM14"
10,GC 7224
11,"1576-1514-CM17"
12,"1576-1488-CM16"
13,"1576-253-CM17"
14,"1576-363-CM16"
15,"1576-303-CM17"
16,"1576-1398-CM17"
17,"1576-700-CM15"
18,"599-809-CM14"
19,"599-1159-CM14"
20,"599-1327-CM14"
21,"599-1171-CM14"
22,"1576-132-CM16"
23,"1576-1801-CM17"
24,"1576-114-CM16"
25,"1576-1050-CM15"
26,"599-1467-CM13"
27,"1576-1257-CM17"
28,"599-727-CM17"
29,OC-Supervisores-Desconocida
30,"599-1096-CM13"
31,"1576-206-CM16"
32,"599-1519-CM14"
33,OC-Meta
34,OC-Equipos_ACER_S3
35,"1576-1524-CM16"
36,"1576-1554-CM17"
37,"1576-327-CM18"
38,"1576-359-CM18"
39,RE-015/909
40,"1576-123-CM16"
43,Celus y BAM repuestos de stock
44,NO ORDEN
45,"1576-1041-CM18"
46,Licitacion Teleco
47,"1576-1410-CM18"
48,"1576-1253-CN16"
49,"1576-1461-CM18"
50,"1576-1522-CM16"
51,"1576-146-CM16"
52,"1576-1017-CM17"
53,"1576-118-CM16"
54,"1576-407-CM15"
55,"1576-53-CM16"
56,"1576-142-CM16"
57,"1576-126-CM16"
58,"1576-119-CM16"
59,"1576-1041-CM16"
60,"1576-209-CM16"
61,"1576-1018-CM17"
62,"1576-1515-CM17"
63,"1576-1038-CM18"
64,"1576-1458-CM18"
65,"1576-1836-CM18"
66,"1576-1839-CM18"
67,OC-IMPRESORAS
68,OC-Antiguas
69,"1576-1882-CM18"
70,OC-Candados
71,"1576-27-CM19"
72,"1576-698-CM19"
73,"1576-699-CM19"
